click_par,channel,app_name,page_name,user_id
{"_portal_tableListTrace_h5":341},home,portal-app,resident_人工调度台,10064771
{"_portal_tableListTrace_h5":128},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":219},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":151},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":379},home,portal-app,resident_人工调度台,10058626
{"_portal_tableListTrace_h5":241},home,portal-app,resident_人工调度台,10062110
{"_portal_tableListTrace_h5":543},home,portal-app,resident_人工调度台,10063532
{"_portal_tableListTrace_h5":184},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":492},home,portal-app,resident_人工调度台,10064771
{"_portal_tableListTrace_h5":377},home,portal-app,dispatch_人工调度台,2837
{"_portal_tableListTrace_h5":684},home,portal-app,resident_人工调度台,10064771
{"_portal_tableListTrace_h5":171},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":188},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":415},home,portal-app,resident_人工调度台,10064771
{"_portal_tableListTrace_h5":157},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":574},home,portal-app,resident_人工调度台,10046504
{"_portal_wayBillClickTrace_h5":555},home,portal-app,orderDispatch_人工调度台,10060495
{"_portal_tableListTrace_h5":535},home,portal-app,dispatch_人工调度台,2837
{"_portal_tableListTrace_h5":582},home,portal-app,resident_人工调度台,10064771
{"_portal_tableListTrace_h5":491},home,portal-app,resident_人工调度台,10046504
{"_portal_tableListTrace_h5":355},home,portal-app,resident_人工调度台,10064771
{"_portal_tableListTrace_h5":157},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":208},home,portal-app,resident_人工调度台,10048964
{"_portal_wayBillClickTrace_h5":405},home,portal-app,resident_人工调度台,10046504
{"_portal_wayBillClickTrace_h5":887},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":130},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":503},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":328},home,portal-app,orderDispatch_人工调度台,10055445
{"_portal_tableListTrace_h5":236},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":580},home,portal-app,resident_人工调度台,10043039
{"_portal_tableListTrace_h5":513},home,portal-app,resident_人工调度台,10045663
{"_portal_tableListTrace_h5":706},home,portal-app,resident_人工调度台,10043070
{"_portal_tableListTrace_h5":183},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":386},home,portal-app,orderDispatch_人工调度台,10055445
{"_portal_tableListTrace_h5":422},home,portal-app,orderDispatch_人工调度台,10055445
{"_portal_tableListTrace_h5":509},home,portal-app,resident_人工调度台,10045663
{"_portal_tableListTrace_h5":265},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":166},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":135},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":217},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":481},home,portal-app,orderDispatch_人工调度台,10055445
{"_portal_wayBillClickTrace_h5":320},home,portal-app,resident_人工调度台,10020913
{"_portal_tableListTrace_h5":155},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":200},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":191},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":201},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":196},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":324},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":257},home,portal-app,resident_人工调度台,10022147
{"_portal_tableListTrace_h5":667},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":283},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":196},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":219},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":232},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":262},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":471},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_tableListTrace_h5":291},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":176},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":380},home,portal-app,resident_人工调度台,10058626
{"_portal_tableListTrace_h5":194},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":295},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":435},home,portal-app,orderDispatch_人工调度台,10055445
{"_portal_tableListTrace_h5":180},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":422},home,portal-app,resident_人工调度台,10058626
{"_portal_tableListTrace_h5":327},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":504},home,portal-app,orderDispatch_人工调度台,10055445
{"_portal_makeAssignTrace_h5":1376},home,portal-app,resident_人工调度台,10045663
{"_portal_wayBillClickTrace_h5":376},home,portal-app,resident_人工调度台,10058982
{"_portal_tableListTrace_h5":326},home,portal-app,resident_人工调度台,10058626
{"_portal_tableListTrace_h5":398},home,portal-app,resident_人工调度台,10063506
{"_portal_tableListTrace_h5":194},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":266},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":229},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":392},home,portal-app,resident_人工调度台,10043070
{"_portal_tableListTrace_h5":504},home,portal-app,resident_人工调度台,10020913
{"_portal_tableListTrace_h5":403},home,portal-app,resident_人工调度台,10059374
{"_portal_tableListTrace_h5":407},home,portal-app,resident_人工调度台,10058626
{"_portal_makeAssignTrace_h5":1257},home,portal-app,resident_人工调度台,10058982
{"_portal_tableListTrace_h5":244},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":412},home,portal-app,resident_人工调度台,10058626
{"_portal_wayBillClickTrace_h5":205},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_tableListTrace_h5":297},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":178},home,portal-app,resident_人工调度台,10048964
{"_portal_wayBillClickTrace_h5":415},home,portal-app,resident_人工调度台,10042368
{"_portal_tableListTrace_h5":515},home,portal-app,resident_人工调度台,10063506
{"_portal_tableListTrace_h5":390},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":223},home,portal-app,resident_人工调度台,10048964
{"_portal_wayBillClickTrace_h5":647},home,portal-app,resident_人工调度台,10058626
{"_portal_tableListTrace_h5":202},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":365},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_tableListTrace_h5":294},home,portal-app,resident_人工调度台,10057647
{"_portal_wayBillClickTrace_h5":373},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_tableListTrace_h5":201},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":406},home,portal-app,dispatch_人工调度台,10044595
{"_portal_tableListTrace_h5":555},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_tableListTrace_h5":613},home,portal-app,resident_人工调度台,10055588
{"_portal_tableListTrace_h5":724},home,portal-app,resident_人工调度台,10020913
{"_portal_tableListTrace_h5":203},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":204},home,portal-app,resident_人工调度台,10048964
{"_portal_wayBillClickTrace_h5":515},home,portal-app,resident_人工调度台,10042368
